Field_ID,Museum_ID,species,location,latitude,longitude,Elevation,Sex,Date,Time,Tb,Ts,Ta_t,Ta_k,HR,perch,weather,shade,note,CTmin,CTmax,Country,Collectors
7,MMM01076,christophei,Jarabacoa,19.08641,-70.68083,603,male,21-Sep-25,,,,,,,,night,NA,by river,10.6,34.6,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
6,MMM01077,christophei,Jarabacoa,19.08641,-70.68083,603,female,21-Sep-25,,,,,,,,night,NA,by river,9.3,33.9,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
5,MMM01078,christophei,Jarabacoa,19.07974,-70.70612,669,female,21-Sep-25,,,,,,,,night,NA,by river,9.3,34.4,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
3,MMM01079,christophei,Jarabacoa,19.07974,-70.70612,669,female,21-Sep-25,,,,,,,,night,NA,by river,11.3,34.8,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
1,MMM01080,christophei,Jarabacoa,19.07974,-70.70612,669,female,21-Sep-25,,,,,,,,night,NA,by river,10.6,32.9,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
8,MMM01081,christophei,Buena Vista,19.20178,-70.59683,496,female,23-Sep-25,11:23,28,27.7,27.5,32.2,85.9,trunk,partial,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
2,MMM01082,christophei,Buena Vista,19.20178,-70.59683,496,female,23-Sep-25,,,,,32.2,85.9,,partial,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
9,MMM01083,christophei,Buena Vista,19.20178,-70.59683,496,female,23-Sep-25,,,,,32.2,85.9,,partial,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
3,MMM01084,christophei,Buena Vista,19.20178,-70.59683,496,female,23-Sep-25,,26.3,25.8,25.2,32.2,85.9,trunk,partial,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
1,MMM01085,christophei,Buena Vista,19.20178,-70.59683,496,male,23-Sep-25,10:24,27.7,24.8,24.9,32.2,85.9,trunk,partial,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
4,MMM01086,christophei,Buena Vista,19.20178,-70.59683,496,female,23-Sep-25,,26.4,25.8,24.5,32.2,85.9,trunk,partial,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
17,MMM01087,etheridgei,El R’o,18.99908,-70.63018,1198,female,25-Sep-25,,,,,,,,night/rain,NA,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
5,MMM01088,etheridgei,El R’o,18.99908,-70.63018,1198,male,24-Sep-25,10:03,25.1,23.6,24.2,24.1,69.3,branch,partial,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
6,MMM01089,etheridgei,El R’o,18.99908,-70.63018,1198,female,25-Sep-25,,,,,,,,night/rain,NA,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
8,MMM01090,etheridgei,El R’o,18.99908,-70.63018,1198,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
16,MMM01091,etheridgei,El R’o,18.99908,-70.63018,1198,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
7,MMM01092,etheridgei,El R’o,18.99908,-70.63018,1198,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
12,MMM01093,etheridgei,El R’o,18.99908,-70.63018,1198,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
4,MMM01094,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
17,MMM01095,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
10,MMM01096,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
11,MMM01097,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
12,MMM01098,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,female,25-Sep-25,,,,,,,,night/rain,NA,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
18,MMM01099,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,female,25-Sep-25,,,,,,,,night/rain,NA,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
7,MMM01100,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,female,25-Sep-25,,,,,,,,night/rain,NA,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
2,MMM01101,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,male,24-Sep-25,,,,,,,,partial,,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
3,MMM01102,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,male,24-Sep-25,,,,,,,,partial,,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
1,MMM01103,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,male,24-Sep-25,11:43,25.6,23.6,22.6,23.2,61.8,branch,partial,partial,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
1,MMM01104,etheridgei,Valle Nuevo - 2200,18.81934,-70.68864,2191,male,24-Sep-25,,,,,,,,night/rain,NA,,2.8,31.5,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
10,MMM01105,christophei,Buena Vista,19.20178,-70.59683,496,female,23-Sep-25,,,,,32.2,85.9,,partial,shade,by stream,9.1,35.8,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
14,MMM01106,christophei,Buena Vista,19.20178,-70.59683,496,female,23-Sep-25,,,,,32.2,85.9,,partial,shade,by stream,8.2,37.3,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
11,MMM01107,christophei,Buena Vista,19.20178,-70.59683,496,male,23-Sep-25,,,,,32.2,85.9,,partial,shade,by stream,7.8,38,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
12,MMM01108,christophei,Buena Vista,19.20178,-70.59683,496,male,23-Sep-25,,,,,32.2,85.9,,partial,shade,by stream,9.5,35.5,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
6,MMM01109,christophei,Buena Vista,19.20178,-70.59683,496,female,23-Sep-25,11:11,28.1,27.2,27.6,32.2,85.9,trunk,partial,shade,by stream,9.1,32.4,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
13,MMM01110,christophei,Buena Vista,19.20178,-70.59683,496,male,23-Sep-25,,,,,32.2,85.9,,partial,shade,by stream,9.5,37,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
7,MMM01111,christophei,Buena Vista,19.20178,-70.59683,496,female,23-Sep-25,,,,,32.2,85.9,,partial,shade,by stream,9.8,36,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
5,MMM01112,christophei,Buena Vista,19.20178,-70.59683,496,male,23-Sep-25,11:07,29.7,26.9,27.3,32.2,85.9,trunk,partial,shade,by stream,8,35.6,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
4,MMM01113,etheridgei,El R’o,18.99908,-70.63018,1198,male,24-Sep-25,09:41,24.1,22.1,22.7,24.1,69.3,branch,partial,shade,by stream,4.7,34.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
13,MMM01114,etheridgei,El R’o,18.99908,-70.63018,1198,female,25-Sep-25,,,,,,,,night/rain,NA,by stream,4.1,33.1,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
3,MMM01115,etheridgei,El R’o,18.99908,-70.63018,1198,male,24-Sep-25,09:36,23.1,22.6,22,24.1,75.3,branch,partial,shade,by stream,5,32.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
14,MMM01116,etheridgei,El R’o,18.99908,-70.63018,1198,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,3.7,34.5,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
10,MMM01117,etheridgei,El R’o,18.99908,-70.63018,1198,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,5,33.1,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
15,MMM01118,etheridgei,El R’o,18.99908,-70.63018,1198,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,4.6,33.4,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
9,MMM01119,etheridgei,El R’o,18.99908,-70.63018,1198,female,25-Sep-25,,,,,,,,night/rain,NA,by stream,4.5,33.2,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
11,MMM01120,etheridgei,El R’o,18.99908,-70.63018,1198,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,5.7,34.1,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
8,MMM01121,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,female,25-Sep-25,,,,,,,,night/rain,NA,by stream,8.6,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
15,MMM01122,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,female,25-Sep-25,,,,,,,,night/rain,NA,by stream,4.6,32.8,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
13,MMM01123,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,4.8,33.2,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
6,MMM01124,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,5.8,32.5,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
5,MMM01125,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,4.3,33.1,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
9,MMM01126,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,female,25-Sep-25,,,,,,,,night/rain,NA,by stream,4.9,32.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
16,MMM01127,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,male,25-Sep-25,,,,,,,,night/rain,NA,by stream,5,34,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
14,MMM01128,etheridgei,Aguas Blancas,18.84318,-70.6774,1649,female,25-Sep-25,,,,,,,,night/rain,NA,by stream,3.5,32.9,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
1,MMM01129,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1950,male,25-Sep-25,,21.6,20,,21.8,58.12,,cloudy/rain,shade,,3.8,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
2,MMM01130,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1950,male,25-Sep-25,,20.5,19.4,,21.8,58.12,,cloudy/rain,shade,,3.8,33.9,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
3,MMM01131,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1950,male,25-Sep-25,,20.6,19.5,,21.8,58.12,,cloudy/rain,shade,,3.7,33.2,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
4,MMM01132,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1950,male,25-Sep-25,,20.7,20.2,,21.8,58.12,,cloudy/rain,shade,,3.5,33.8,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
5,MMM01133,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1950,male,25-Sep-25,,18.8,18.6,,21.8,58.12,,cloudy/rain,shade,,3.3,33.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
6,MMM01134,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1950,female,25-Sep-25,,20.6,18,,21.8,58.12,,cloudy/rain,shade,,4.2,34.3,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
15,MMM01135,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
7,MMM01136,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
8,MMM01137,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,female,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
19,MMM01138,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
9,MMM01139,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
18,MMM01140,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
11,MMM01141,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,female,26-Sep-25,,,,,,,,night/rain,NA,,3,32.6,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
14,MMM01142,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,female,26-Sep-25,,,,,,,,night/rain,NA,,4,34.4,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
13,MMM01143,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
20,MMM01144,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,female,26-Sep-25,,,,,,,,night/rain,NA,,3.4,34.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
21,MMM01145,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
17,MMM01146,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
16,MMM01147,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
10,MMM01148,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
4,MMM01149,etheridgei,Valle Nuevo - 1800,18.84062,-70.70678,1824,female,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
3,MMM01150,etheridgei,Valle Nuevo - 1800,18.84062,-70.70678,1824,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
12,MMM01151,etheridgei,Valle Nuevo - 2000,18.83792,-70.70129,1884,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
NA,MMM01152,etheridgei,Valle Nuevo,NA,NA,NA,female,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
13,MMM01153,etheridgei,Valle Nuevo - 1800,18.84062,-70.70678,1824,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
5,MMM01154,etheridgei,Valle Nuevo - 1800,18.84062,-70.70678,1824,female,26-Sep-25,,,,,,,,night/rain,NA,,3.9,34.1,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
11,MMM01155,etheridgei,Valle Nuevo - 1800,18.84062,-70.70678,1824,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
7,MMM01156,etheridgei,Valle Nuevo - 1800,18.84062,-70.70678,1824,male,26-Sep-25,,,,,,,,night/rain,NA,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
12,MMM01157,etheridgei,Valle Nuevo - 1800,18.84062,-70.70678,1824,male,26-Sep-25,,,,,,,,night/rain,NA,,5.5,34.5,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
2,MMM01158,etheridgei,Valle Nuevo - 1800,18.84062,-70.70678,1824,male,26-Sep-25,,,,,,,,night/rain,NA,,4.4,34.9,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
6,MMM01159,etheridgei,Valle Nuevo - 1800,18.84062,-70.70678,1824,female,26-Sep-25,,,,,,,,night/rain,NA,,4.5,34.2,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
1,MMM01160,etheridgei,Valle Nuevo - 1800,18.84062,-70.70678,1824,female,26-Sep-25,,,,,,,,night/rain,NA,,4.3,35.1,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
10,MMM01161,etheridgei,Valle Nuevo - 1800,18.84062,-70.70678,1824,female,26-Sep-25,,,,,,,,night/rain,NA,,3.7,33.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
8,MMM01162,etheridgei,Valle Nuevo - 1800,18.84062,-70.70678,1824,male,26-Sep-25,,,,,,,,night/rain,NA,,4.9,34.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
9,MMM01163,etheridgei,Valle Nuevo - 1800,18.84062,-70.70678,1824,male,26-Sep-25,,,,,,,,night/rain,NA,,4.7,35.2,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
